device,NVIDIA GB10,driver_api,13000,header,13040,sms,48,minimum,2097152,recommended,2097152
sample_header,mode,bytes,iteration,operation,host_us,kernel_ms,pending_after
sample,idle,2097152,49,access,34.783,0.000,0
sample,idle,2097152,49,unmap,43.424,0.000,0
sample,idle,2097152,49,release,26.288,0.000,0
sample,idle,2097152,50,create,48.847,0.000,0
sample,idle,2097152,50,map,0.480,0.000,0
sample,idle,2097152,50,access,34.480,0.000,0
sample,idle,2097152,50,unmap,43.392,0.000,0
sample,idle,2097152,50,release,27.535,0.000,0
sample,idle,2097152,51,create,48.720,0.000,0
sample,idle,2097152,51,map,0.480,0.000,0
sample,idle,2097152,51,access,34.448,0.000,0
sample,idle,2097152,51,unmap,43.680,0.000,0
sample,idle,2097152,51,release,26.128,0.000,0
sample,idle,2097152,52,create,48.655,0.000,0
sample,idle,2097152,52,map,0.480,0.000,0
sample,idle,2097152,52,access,34.992,0.000,0
sample,idle,2097152,52,unmap,43.792,0.000,0
sample,idle,2097152,52,release,26.063,0.000,0
sample,idle,2097152,53,create,48.672,0.000,0
sample,idle,2097152,53,map,0.480,0.000,0
sample,idle,2097152,53,access,34.448,0.000,0
sample,idle,2097152,53,unmap,43.008,0.000,0
sample,idle,2097152,53,release,25.904,0.000,0
sample,idle,2097152,54,create,48.895,0.000,0
sample,idle,2097152,54,map,0.480,0.000,0
sample,idle,2097152,54,access,33.776,0.000,0
sample,idle,2097152,54,unmap,42.864,0.000,0
sample,idle,2097152,54,release,26.303,0.000,0
sample,idle,2097152,55,create,48.784,0.000,0
sample,idle,2097152,55,map,0.544,0.000,0
sample,idle,2097152,55,access,35.024,0.000,0
sample,idle,2097152,55,unmap,42.303,0.000,0
sample,idle,2097152,55,release,26.032,0.000,0
sample,idle,2097152,56,create,49.200,0.000,0
sample,idle,2097152,56,map,0.528,0.000,0
sample,idle,2097152,56,access,34.223,0.000,0
sample,idle,2097152,56,unmap,43.616,0.000,0
sample,idle,2097152,56,release,26.335,0.000,0
sample,idle,2097152,57,create,48.352,0.000,0
sample,idle,2097152,57,map,0.464,0.000,0
sample,idle,2097152,57,access,34.800,0.000,0
sample,idle,2097152,57,unmap,46.383,0.000,0
sample,idle,2097152,57,release,26.736,0.000,0
sample,idle,2097152,58,create,48.496,0.000,0
sample,idle,2097152,58,map,0.512,0.000,0
sample,idle,2097152,58,access,35.951,0.000,0
sample,idle,2097152,58,unmap,46.512,0.000,0
sample,idle,2097152,58,release,26.799,0.000,0
sample,idle,2097152,59,create,48.592,0.000,0
sample,idle,2097152,59,map,0.528,0.000,0
sample,idle,2097152,59,access,35.792,0.000,0
sample,idle,2097152,59,unmap,47.199,0.000,0
sample,idle,2097152,59,release,26.736,0.000,0
sample,idle,2097152,60,create,48.976,0.000,0
sample,idle,2097152,60,map,0.464,0.000,0
sample,idle,2097152,60,access,36.335,0.000,0
sample,idle,2097152,60,unmap,46.736,0.000,0
